name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
BD-17 63 b,112,5.1 Jupiters,9.62,2008
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
BD+20 274 b,4314,4.2 Jupiters,9.367,2012
BD+20 594 b,585,22.2481 Earths,10.849,2016
BD+45 564 b,175,1.36 Jupiters,9.67,2021
BD+48 738 b,2843,0.91 Jupiters,9.139,2011
BD+48 740 b,2174,1.7 Jupiters,8.69,2018
BD+49 828 b,1442,1.6 Jupiters,9.381,2015
BD+55 362 b,171,0.72 Jupiters,9.38,2021
BD+63 1405 b,124,3.96 Jupiters,8.96,2021
Beta Cancri b,290,7.8 Jupiters,3.51012,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
CHXR 73 b,621,12.569 Jupiters,17.2934,2006
CI Tauri b,515,11.6 Jupiters,13.642,2019
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
CoRoT-2 b,696,3.47 Jupiters,12.516,2008
CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 c,522,8.4 Earths,11.728,2009
CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
CT Chamaleontis b,622,17 Jupiters,12.335,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DH Tauri b,440,11 Jupiters,13.98,2004
DMPP-1 b,204,24.27 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 d,204,3.35 Earths,7.98,2019
DMPP-1 e,204,4.13 Earths,7.98,2019
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201427007.01,2304,2.86 Earths,14.321,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201595106.01,757,2.24 Earths,11.746,2021
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342.01,1207,7.27 Earths,13.096,2021
EPIC 206024342.02,1207,2.54 Earths,13.096,2021
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
Gamma Librae c,155,4.58 Jupiters,3.90672,2018
GJ 1265 b,33,7.4 Earths,14.01,2018
GJ 143 b,53,22.7 Earths,8.08,2019
GJ 15 A b,12,3.03 Earths,8.09,2014
GJ 15 A c,12,36 Earths,8.09,2018
GJ 160.2 b,84,10.2 Earths,9.7,2014
GJ 163 b,49,10.6 Earths,11.79,2013
GJ 163 c,49,6.8 Earths,11.79,2013
GJ 163 d,49,29.4 Earths,11.79,2013
GJ 179 b,40,0.82 Jupiters,11.963,2009
GJ 180 b,39,6.49 Earths,10.914,2014
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3779 b,45,8 Earths,13.04,2018
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 9066 b,15,30.9 Earths,12.71,2020
GJ 9066 c,15,0.22528 Jupiters,12.71,2020
GJ 9689 b,100,9.65 Earths,11.297,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
